,suburb
1200, BOORAGUL NSW 2284
1201, MARMONG POINT NSW 2284
1202, SPEERS POINT NSW 2284
1203, TERALBA NSW 2284
1204, WOODRISING NSW 2284
1205, CAMERON PARK NSW 2285
1206, CARDIFF NSW 2285
1207, CARDIFF HEIGHTS NSW 2285
1208, CARDIFF SOUTH NSW 2285
1209, EDGEWORTH NSW 2285
1210, GLENDALE NSW 2285
1211, MACQUARIE HILLS NSW 2285
1212, HOLMESVILLE NSW 2286
1213, SEAHAMPTON NSW 2286
1214, WEST WALLSEND NSW 2286
1215, BIRMINGHAM GARDENS NSW 2287
1216, ELERMORE VALE NSW 2287
1217, FLETCHER NSW 2287
1218, MARYLAND NSW 2287
1219, MINMI NSW 2287
1220, RANKIN PARK NSW 2287
1221, SUMMER HILL NSW 2287
1222, WALLSEND NSW 2287
1223, WALLSEND SOUTH NSW 2287
1224, ADAMSTOWN NSW 2289
1225, ADAMSTOWN HEIGHTS NSW 2289
1226, GARDEN SUBURB NSW 2289
1227, HIGHFIELDS NSW 2289
1228, KOTARA NSW 2289
1229, KOTARA SOUTH NSW 2289
1230, BENNETTS GREEN NSW 2290
1231, CHARLESTOWN NSW 2290
1232, DUDLEY NSW 2290
1233, GATESHEAD NSW 2290
1234, HILLSBOROUGH NSW 2290
1235, KAHIBAH NSW 2290
1236, MOUNT HUTTON NSW 2290
1237, REDHEAD NSW 2290
1238, TINGIRA HEIGHTS NSW 2290
1239, WHITEBRIDGE NSW 2290
1240, MEREWETHER NSW 2291
1241, MEREWETHER HEIGHTS NSW 2291
1242, THE JUNCTION NSW 2291
1243, BROADMEADOW NSW 2292
1244, HAMILTON NORTH NSW 2292
1245, MARYVILLE NSW 2293
1246, WICKHAM NSW 2293
1247, CARRINGTON NSW 2294
1248, FERN BAY NSW 2295
1249, STOCKTON NSW 2295
1250, ISLINGTON NSW 2296
1251, TIGHES HILL NSW 2297
1252, GEORGETOWN NSW 2298
1253, WARATAH NSW 2298
1254, WARATAH WEST NSW 2298
1255, JESMOND NSW 2299
1256, LAMBTON NSW 2299
1257, NORTH LAMBTON NSW 2299
1258, BAR BEACH NSW 2300
1259, COOKS HILL NSW 2300
1260, NEWCASTLE NSW 2300
1261, NEWCASTLE EAST NSW 2300
1262, THE HILL NSW 2300
1263, NEWCASTLE WEST NSW 2302
1264, HAMILTON NSW 2303
1265, HAMILTON EAST NSW 2303
1266, HAMILTON SOUTH NSW 2303
1267, KOORAGANG NSW 2304
1268, MAYFIELD NSW 2304
1269, MAYFIELD EAST NSW 2304
1270, MAYFIELD NORTH NSW 2304
1271, MAYFIELD WEST NSW 2304
1272, SANDGATE NSW 2304
1273, WARABROOK NSW 2304
1274, KOTARA EAST NSW 2305
1275, NEW LAMBTON NSW 2305
1276, NEW LAMBTON HEIGHTS NSW 2305
1277, WINDALE NSW 2306
1278, SHORTLAND NSW 2307
1279, CALLAGHAN NSW 2308
1280, NEWCASTLE UNIVERSITY NSW 2308
1281, DANGAR NSW 2309
1282, ALLYNBROOK NSW 2311
1283, BINGLEBURRA NSW 2311
1284, CARRABOLLA NSW 2311
1285, EAST GRESFORD NSW 2311
1286, ECCLESTON NSW 2311
1287, GRESFORD NSW 2311
1288, HALTON NSW 2311
1289, LEWINSBROOK NSW 2311
1290, LOSTOCK NSW 2311
1291, MOUNT RIVERS NSW 2311
1292, UPPER ALLYN NSW 2311
1293, MINIMBAH NSW 2312
1294, NABIAC NSW 2312
1295, WILLIAMTOWN RAAF NSW 2314
1296, CORLETTE NSW 2315
1297, FINGAL BAY NSW 2315
1298, NELSON BAY NSW 2315
1299, SHOAL BAY NSW 2315
1300, ANNA BAY NSW 2316
1301, BOAT HARBOUR NSW 2316
1302, BOBS FARM NSW 2316
1303, FISHERMANS BAY NSW 2316
1304, ONE MILE NSW 2316
1305, TAYLORS BEACH NSW 2316
1306, SALAMANDER BAY NSW 2317
1307, SOLDIERS POINT NSW 2317
1308, CAMPVALE NSW 2318
1309, FERODALE NSW 2318
1310, FULLERTON COVE NSW 2318
1311, MEDOWIE NSW 2318
1312, OYSTER COVE NSW 2318
1313, SALT ASH NSW 2318
1314, WILLIAMTOWN NSW 2318
1315, LEMON TREE PASSAGE NSW 2319
1316, MALLABULA NSW 2319
1317, TANILBA BAY NSW 2319
1318, ABERGLASSLYN NSW 2320
1319, ALLANDALE NSW 2320
1320, ANAMBAH NSW 2320
1321, BOLWARRA NSW 2320
1322, BOLWARRA HEIGHTS NSW 2320
1323, FARLEY NSW 2320
1324, GLEN OAK NSW 2320
1325, GOSFORTH NSW 2320
1326, HILLSBOROUGH NSW 2320
1327, HORSESHOE BEND NSW 2320
1328, KEINBAH NSW 2320
1329, LARGS NSW 2320
1330, LORN NSW 2320
1331, LOUTH PARK NSW 2320
1332, MAITLAND NSW 2320
1333, MAITLAND NORTH NSW 2320
1334, MAITLAND VALE NSW 2320
1335, MELVILLE NSW 2320
1336, MINDARIBBA NSW 2320
1337, MOUNT DEE NSW 2320
1338, OAKHAMPTON NSW 2320
1339, OAKHAMPTON HEIGHTS NSW 2320
1340, POKOLBIN NSW 2320
1341, ROSEBROOK NSW 2320
1342, ROTHBURY NSW 2320
1343, RUTHERFORD NSW 2320
1344, SOUTH MAITLAND NSW 2320
1345, TELARAH NSW 2320
1346, WALLALONG NSW 2320
1347, WINDELLA NSW 2320
1348, BERRY PARK NSW 2321
1349, BUTTERWICK NSW 2321
1350, CLARENCE TOWN NSW 2321
1351, CLIFTLEIGH NSW 2321
1352, DUCKENFIELD NSW 2321
1353, DUNS CREEK NSW 2321
1354, GILLIESTON HEIGHTS NSW 2321
1355, GLEN MARTIN NSW 2321
1356, GLEN WILLIAM NSW 2321
1357, HARPERS HILL NSW 2321
1358, HEDDON GRETA NSW 2321
1359, HINTON NSW 2321
1360, LOCHINVAR NSW 2321
1361, LUSKINTYRE NSW 2321
1362, MORPETH NSW 2321
1363, OSWALD NSW 2321
1364, PHOENIX PARK NSW 2321
1365, RAWORTH NSW 2321
1366, WOODVILLE NSW 2321
1367, BERESFIELD NSW 2322
1368, BLACK HILL NSW 2322
1369, HEXHAM NSW 2322
1370, LENAGHAN NSW 2322
1371, STOCKRINGTON NSW 2322
1372, TARRO NSW 2322
1373, THORNTON NSW 2322
1374, TOMAGO NSW 2322
1375, WOODBERRY NSW 2322
1376, ASHTONFIELD NSW 2323
1377, BRUNKERVILLE NSW 2323
1378, BUCHANAN NSW 2323
1379, BUTTAI NSW 2323
1380, EAST MAITLAND NSW 2323
1381, FREEMANS WATERHOLE NSW 2323
1382, GREEN HILLS NSW 2323
1383, METFORD NSW 2323
1384, MOUNT VINCENT NSW 2323
1385, MULBRING NSW 2323
1386, PITNACREE NSW 2323
1387, RICHMOND VALE NSW 2323
1388, TENAMBIT NSW 2323
1389, BALICKERA NSW 2324
1390, BRANDY HILL NSW 2324
1391, BUNDABAH NSW 2324
1392, CARRINGTON NSW 2324
1393, CELLS RIVER NSW 2324
1394, EAGLETON NSW 2324
1395, EAST SEAHAM NSW 2324
1396, HAWKS NEST NSW 2324
1397, HEATHERBRAE NSW 2324
1398, KARUAH NSW 2324
1399, LIMEBURNERS CREEK NSW 2324
1400, MILLERS FOREST NSW 2324
1401, NELSONS PLAINS NSW 2324
1402, NORTH ARM COVE NSW 2324
1403, OSTERLEY NSW 2324
1404, PINDIMAR NSW 2324
1405, RAYMOND TERRACE NSW 2324
1406, RAYMOND TERRACE EAST NSW 2324
1407, SEAHAM NSW 2324
1408, SWAN BAY NSW 2324
1409, TAHLEE NSW 2324
1410, TEA GARDENS NSW 2324
1411, TWELVE MILE CREEK NSW 2324
1412, ABERDARE NSW 2325
1413, ABERNETHY NSW 2325
1414, BELLBIRD NSW 2325
1415, BELLBIRD HEIGHTS NSW 2325
1416, BOREE NSW 2325
1417, CEDAR CREEK NSW 2325
1418, CESSNOCK NSW 2325
1419, CESSNOCK WEST NSW 2325
1420, CONGEWAI NSW 2325
1421, CORRABARE NSW 2325
1422, ELLALONG NSW 2325
1423, ELRINGTON NSW 2325
1424, GRETA MAIN NSW 2325
1425, KEARSLEY NSW 2325
1426, KITCHENER NSW 2325
1427, LAGUNA NSW 2325
1428, LOVEDALE NSW 2325
1429, MILLFIELD NSW 2325
1430, MORUBEN NSW 2325
1431, MOUNT VIEW NSW 2325
1432, NULKABA NSW 2325
1433, OLNEY NSW 2325
1434, PAXTON NSW 2325
1435, PAYNES CROSSING NSW 2325
1436, PELTON NSW 2325
1437, QUORROBOLONG NSW 2325
1438, SWEETMANS CREEK NSW 2325
1439, WOLLOMBI NSW 2325
1440, ABERMAIN NSW 2326
1441, BISHOPS BRIDGE NSW 2326
1442, LOXFORD NSW 2326
1443, NEATH NSW 2326
1444, SAWYERS GULLY NSW 2326
1445, WESTON NSW 2326
1446, KURRI KURRI NSW 2327
1447, PELAW MAIN NSW 2327
1448, STANFORD MERTHYR NSW 2327
1449, BUREEN NSW 2328
1450, DALSWINTON NSW 2328
1451, DENMAN NSW 2328
1452, GIANTS CREEK NSW 2328
1453, HOLLYDEEN NSW 2328
1454, KERRABEE NSW 2328
1455, MANGOOLA NSW 2328
1456, MARTINDALE NSW 2328
1457, WIDDEN NSW 2328
1458, YARRAWA NSW 2328
1459, BORAMBIL NSW 2329
1460, CASSILIS NSW 2329
1461, MERRIWA NSW 2329
1462, UARBRY NSW 2329
1463, APPLETREE FLAT NSW 2330
1464, BIG RIDGE NSW 2330
1465, BIG YENGO NSW 2330
1466, BOWMANS CREEK NSW 2330
1467, BRIDGMAN NSW 2330
1468, BROKE NSW 2330
1469, BULGA NSW 2330
1470, CAMBERWELL NSW 2330
1471, CARROWBROOK NSW 2330
1472, CLYDESDALE NSW 2330
1473, COMBO NSW 2330
1474, DARLINGTON NSW 2330
1475, DOYLES CREEK NSW 2330
1476, DUNOLLY NSW 2330
1477, DURAL NSW 2330
1478, DYRRING NSW 2330
1479, FALBROOK NSW 2330
1480, FERN GULLY NSW 2330
1481, FORDWICH NSW 2330
1482, GARLAND VALLEY NSW 2330
1483, GLENDON NSW 2330
1484, GLENNIES CREEK NSW 2330
1485, GLENRIDDING NSW 2330
1486, GOORANGOOLA NSW 2330
1487, GOULDSVILLE NSW 2330
1488, GOWRIE NSW 2330
1489, GREENLANDS NSW 2330
1490, HAMBLEDON HILL NSW 2330
1491, HEBDEN NSW 2330
1492, HOWES VALLEY NSW 2330
1493, HOWICK NSW 2330
1494, HUNTERVIEW NSW 2330
1495, JERRYS PLAINS NSW 2330
1496, LEMINGTON NSW 2330
1497, LONG POINT NSW 2330
1498, MAISON DIEU NSW 2330
1499, MCDOUGALLS HILL NSW 2330
1500, MIDDLE FALBROOK NSW 2330
1501, MILBRODALE NSW 2330
1502, MIRANNIE NSW 2330
1503, MITCHELLS FLAT NSW 2330
1504, MOUNT OLIVE NSW 2330
1505, MOUNT ROYAL NSW 2330
1506, MOUNT THORLEY NSW 2330
1507, OBANVALE NSW 2330
1508, PUTTY NSW 2330
1509, RAVENSWORTH NSW 2330
1510, REDBOURNBERRY NSW 2330
1511, REEDY CREEK NSW 2330
1512, RIXS CREEK NSW 2330
1513, ROUGHIT NSW 2330
1514, SCOTTS FLAT NSW 2330
1515, SEDGEFIELD NSW 2330
1516, SINGLETON NSW 2330
1517, SINGLETON HEIGHTS NSW 2330
1518, ST CLAIR NSW 2330
1519, WARKWORTH NSW 2330
1520, WATTLE PONDS NSW 2330
1521, WESTBROOK NSW 2330
1522, WHITTINGHAM NSW 2330
1523, WOLLEMI NSW 2330
1524, WYLIES FLAT NSW 2330
1525, SINGLETON MILITARY AREA NSW 2331
1526, BAERAMI NSW 2333
1527, BAERAMI CREEK NSW 2333
1528, BENGALLA NSW 2333
1529, CASTLE ROCK NSW 2333
1530, EDDERTON NSW 2333
1531, GUNGAL NSW 2333
1532, KAYUGA NSW 2333
1533, LIDDELL NSW 2333
1534, MANOBALAI NSW 2333
1535, MCCULLYS GAP NSW 2333
1536, MUSCLE CREEK NSW 2333
1537, MUSWELLBROOK NSW 2333
1538, SANDY HOLLOW NSW 2333
1539, WYBONG NSW 2333
1540, GRETA NSW 2334
1541, BELFORD NSW 2335
1542, BRANXTON NSW 2335
1543, DALWOOD NSW 2335
1544, EAST BRANXTON NSW 2335
1545, ELDERSLIE NSW 2335
1546, LAMBS VALLEY NSW 2335
1547, LECONFIELD NSW 2335
1548, LOWER BELFORD NSW 2335
1549, NORTH ROTHBURY NSW 2335
1550, STANHOPE NSW 2335
1551, ABERDEEN NSW 2336
1552, DARTBROOK NSW 2336
1553, DAVIS CREEK NSW 2336
1554, ROSSGOLE NSW 2336
1555, ROUCHEL NSW 2336
1556, ROUCHEL BROOK NSW 2336
1557, UPPER DARTBROOK NSW 2336
1558, UPPER ROUCHEL NSW 2336
1559, BELLTREES NSW 2337
1560, BRAWBOY NSW 2337
1561, BUNNAN NSW 2337
1562, DRY CREEK NSW 2337
1563, ELLERSTON NSW 2337
1564, GLENBAWN NSW 2337
1565, GLENROCK NSW 2337
1566, GUNDY NSW 2337
1567, KARS SPRINGS NSW 2337
1568, MIDDLE BROOK NSW 2337
1569, MOOBI NSW 2337
1570, MOONAN BROOK NSW 2337
1571, MOONAN FLAT NSW 2337
1572, MURULLA NSW 2337
1573, OMADALE NSW 2337
1574, OWENS GAP NSW 2337
1575, PAGES CREEK NSW 2337
1576, PARKVILLE NSW 2337
1577, SCONE NSW 2337
1578, SEGENHOE NSW 2337
1579, STEWARTS BROOK NSW 2337
1580, TOMALLA NSW 2337
1581, WAVERLY NSW 2337
1582, WINGEN NSW 2337
1583, WOOLOOMA NSW 2337
1584, ARDGLEN NSW 2338
1585, BLANDFORD NSW 2338
1586, CRAWNEY NSW 2338
1587, GREEN CREEK NSW 2338
1588, MURRURUNDI NSW 2338
1589, PAGES RIVER NSW 2338
1590, SANDY CREEK NSW 2338
1591, SCOTTS CREEK NSW 2338
1592, TIMOR NSW 2338
1593, BIG JACKS CREEK NSW 2339
1594, BRAEFIELD NSW 2339
1595, CATTLE CREEK NSW 2339
1596, CHILCOTTS CREEK NSW 2339
1597, LITTLE JACKS CREEK NSW 2339
1598, MACDONALDS CREEK NSW 2339
1599, PARRAWEENA NSW 2339
1600, WARRAH NSW 2339
1601, WARRAH CREEK NSW 2339
1602, WILLOW TREE NSW 2339
1603, APPLEBY NSW 2340
1604, BARRY NSW 2340
1605, BECTIVE NSW 2340
1606, BITHRAMERE NSW 2340
1607, BOWLING ALLEY POINT NSW 2340
1608, CALALA NSW 2340
1609, CARROLL NSW 2340
1610, DARUKA NSW 2340
1611, DUNCANS CREEK NSW 2340
1612, DUNGOWAN NSW 2340
1613, EAST TAMWORTH NSW 2340
1614, GAROO NSW 2340
1615, GIDLEY NSW 2340
1616, GOONOO GOONOO NSW 2340
1617, GOWRIE NSW 2340
1618, HALLSVILLE NSW 2340
1619, HANGING ROCK NSW 2340
1620, HILLVUE NSW 2340
1621, KEEPIT NSW 2340
1622, KINGSWOOD NSW 2340
1623, LOOMBERAH NSW 2340
1624, MOORE CREEK NSW 2340
1625, NEMINGHA NSW 2340
1626, NORTH TAMWORTH NSW 2340
1627, NUNDLE NSW 2340
1628, OGUNBIL NSW 2340
1629, OXLEY VALE NSW 2340
1630, PIALLAMORE NSW 2340
1631, SOMERTON NSW 2340
1632, SOUTH TAMWORTH NSW 2340
1633, TAMINDA NSW 2340
1634, TAMWORTH NSW 2340
1635, TIMBUMBURI NSW 2340
1636, WALLAMORE NSW 2340
1637, WARRAL NSW 2340
1638, WEABONGA NSW 2340
1639, WEST TAMWORTH NSW 2340
1640, WESTDALE NSW 2340
1641, WOOLOMIN NSW 2340
1642, WERRIS CREEK NSW 2341
1643, CURRABUBULA NSW 2342
1644, PIALLAWAY NSW 2342
1645, BLACKVILLE NSW 2343
1646, BUNDELLA NSW 2343
1647, CAROONA NSW 2343
1648, COLLY BLUE NSW 2343
1649, COOMOO COOMOO NSW 2343
1650, PINE RIDGE NSW 2343
1651, QUIPOLLY NSW 2343
1652, QUIRINDI NSW 2343
1653, SPRING RIDGE NSW 2343
1654, WALLABADAH NSW 2343
1655, WARRAH RIDGE NSW 2343
1656, WINDY NSW 2343
1657, YANNERGEE NSW 2343
1658, DURI NSW 2344
1659, WINTON NSW 2344
1660, ATTUNGA NSW 2345
1661, GARTHOWEN NSW 2345
1662, BORAH CREEK NSW 2346
1663, HALLS CREEK NSW 2346
1664, KLORI NSW 2346
1665, MANILLA NSW 2346
1666, NAMOI RIVER NSW 2346
1667, NEW MEXICO NSW 2346
1668, RUSHES CREEK NSW 2346
1669, UPPER MANILLA NSW 2346
1670, WARRABAH NSW 2346
1671, WONGO CREEK NSW 2346
1672, BANOON NSW 2347
1673, BARRABA NSW 2347
1674, CARODA NSW 2347
1675, COBBADAH NSW 2347
1676, GULF CREEK NSW 2347
1677, GUNDAMULDA NSW 2347
1678, IRONBARK NSW 2347
1679, LINDESAY NSW 2347
1680, LONGARM NSW 2347
1681, MAYVALE NSW 2347
1682, RED HILL NSW 2347
1683, THIRLOENE NSW 2347
1684, UPPER HORTON NSW 2347
1685, WOODSREEF NSW 2347
1686, ABERFOYLE NSW 2350
1687, ABINGTON NSW 2350
1688, ARGYLE NSW 2350
1689, ARMIDALE NSW 2350
1690, BONA VISTA NSW 2350
1691, BOOROLONG NSW 2350
1692, CASTLE DOYLE NSW 2350
1693, DANGARSLEIGH NSW 2350
1694, DONALD CREEK NSW 2350
1695, DUMARESQ NSW 2350
1696, DUVAL NSW 2350
1697, ENMORE NSW 2350
1698, HILLGROVE NSW 2350
1699, INVERGOWRIE NSW 2350
1700, JEOGLA NSW 2350
1701, KELLYS PLAINS NSW 2350
1702, LYNDHURST NSW 2350
1703, PUDDLEDOCK NSW 2350
1704, SAUMAREZ NSW 2350
1705, SAUMAREZ PONDS NSW 2350
1706, THALGARRAH NSW 2350
1707, TILBUSTER NSW 2350
1708, WARDS MISTAKE NSW 2350
1709, WEST ARMIDALE NSW 2350
1710, WOLLOMOMBI NSW 2350
1711, WONGWIBINDA NSW 2350
1712, UNIVERSITY OF NEW ENGLAND NSW 2351
1713, KOOTINGAL NSW 2352
1714, LIMBRI NSW 2352
1715, MULLA CREEK NSW 2352
1716, TINTINHULL NSW 2352
1717, MOONBI NSW 2353
1718, BRANGA PLAINS NSW 2354
1719, KENTUCKY NSW 2354
1720, KENTUCKY SOUTH NSW 2354
1721, MOONA PLAINS NSW 2354
1722, NIANGALA NSW 2354
1723, NOWENDOC NSW 2354
1724, WALCHA NSW 2354
1725, WALCHA ROAD NSW 2354
1726, WOLLUN NSW 2354
1727, WOOLBROOK NSW 2354
1728, YARROWITCH NSW 2354
1729, BENDEMEER NSW 2355
1730, WATSONS CREEK NSW 2355
1731, GWABEGAR NSW 2356
1732, BOMERA NSW 2357
1733, BUGALDIE NSW 2357
1734, COONABARABRAN NSW 2357
1735, DANDRY NSW 2357
1736, GOWANG NSW 2357
1737, PURLEWAUGH NSW 2357
1738, ROCKY GLEN NSW 2357
1739, TANNABAR NSW 2357
1740, ULAMAMBRI NSW 2357
1741, ARDING NSW 2358
1742, BAKERS CREEK NSW 2358
1743, BALALA NSW 2358
1744, ENMORE NSW 2358
1745, GOSTWYCK NSW 2358
1746, KINGSTOWN NSW 2358
1747, MIHI NSW 2358
1748, ROCKY RIVER NSW 2358
1749, SALISBURY PLAINS NSW 2358
1750, TORRYBURN NSW 2358
1751, URALLA NSW 2358
1752, YARROWYCK NSW 2358
1753, ABERDEEN NSW 2359
1754, BUNDARRA NSW 2359
1755, CAMERONS CREEK NSW 2359
1756, AUBURN VALE NSW 2360
1757, BRODIES PLAINS NSW 2360
1758, BUKKULLA NSW 2360
1759, CHERRY TREE HILL NSW 2360
1760, COPETON NSW 2360
1761, ELSMORE NSW 2360
1762, GILGAI NSW 2360
1763, GRAMAN NSW 2360
1764, GUM FLAT NSW 2360
1765, HOWELL NSW 2360
1766, INVERELL NSW 2360
1767, KINGS PLAINS NSW 2360
1768, LITTLE PLAIN NSW 2360
1769, LONG PLAIN NSW 2360
1770, MOUNT RUSSELL NSW 2360
1771, NEWSTEAD NSW 2360
1772, NULLAMANNA NSW 2360
1773, PARADISE NSW 2360
1774, ROB ROY NSW 2360
1775, SAPPHIRE NSW 2360
1776, SPRING MOUNTAIN NSW 2360
1777, STANBOROUGH NSW 2360
1778, SWANBROOK NSW 2360
1779, WALLANGRA NSW 2360
1780, WANDERA NSW 2360
1781, WOODSTOCK NSW 2360
1782, ASHFORD NSW 2361
1783, ATHOLWOOD NSW 2361
1784, BONSHAW NSW 2361
1785, LIMESTONE NSW 2361
1786, PINDAROI NSW 2361
1787, BACKWATER NSW 2365
1788, BALD BLAIR NSW 2365
1789, BALDERSLEIGH NSW 2365
1790, BASSENDEAN NSW 2365
1791, BEN LOMOND NSW 2365
1792, BLACK MOUNTAIN NSW 2365
1793, BRIARBROOK NSW 2365
1794, BROCKLEY NSW 2365
1795, BRUSHY CREEK NSW 2365
1796, FALCONER NSW 2365
1797, GEORGES CREEK NSW 2365
1798, GLEN NEVIS NSW 2365
1799, GLENCOE NSW 2365
1800, GREEN HILLS NSW 2365
1801, GUYRA NSW 2365
1802, LLANGOTHLIN NSW 2365
1803, MAYBOLE NSW 2365
1804, MOUNT MITCHELL NSW 2365
1805, NEW VALLEY NSW 2365
1806, OBAN NSW 2365
1807, SOUTH GUYRA NSW 2365
1808, TENTERDEN NSW 2365
1809, THE BASIN NSW 2365
1810, TUBBAMURRA NSW 2365
1811, WANDSWORTH NSW 2365
1812, OLD MILL NSW 2369
1813, STANNIFER NSW 2369
1814, TINGHA NSW 2369
1815, BALD NOB NSW 2370
1816, DIEHARD NSW 2370
1817, DUNDEE NSW 2370
1818, FURRACABAD NSW 2370
1819, GIBRALTAR RANGE NSW 2370
1820, GLEN ELGIN NSW 2370
1821, GLEN INNES NSW 2370
1822, KINGSGATE NSW 2370
1823, KOOKABOOKRA NSW 2370
1824, LAMBS VALLEY NSW 2370
1825, MATHESON NSW 2370
1826, MOGGS SWAMP NSW 2370
1827, MOOGEM NSW 2370
1828, MORVEN NSW 2370
1829, NEWTON BOYD NSW 2370
1830, PINKETT NSW 2370
1831, RANGERS VALLEY NSW 2370
1832, RED RANGE NSW 2370
1833, REDDESTONE NSW 2370
1834, SHANNON VALE NSW 2370
1835, SWAN VALE NSW 2370
1836, WELLINGROVE NSW 2370
1837, YARROWFORD NSW 2370
1838, CAPOOMPETA NSW 2371
1839, DEEPWATER NSW 2371
1840, EMMAVILLE NSW 2371
1841, ROCKY CREEK NSW 2371
1842, STANNUM NSW 2371
1843, TENT HILL NSW 2371
1844, THE GULF NSW 2371
1845, TORRINGTON NSW 2371
1846, WELLINGTON VALE NSW 2371
1847, YELLOW DAM NSW 2371
1848, BACK CREEK NSW 2372
1849, BILLYRIMBA NSW 2372
1850, BLACK SWAMP NSW 2372
1851, BLUFF ROCK NSW 2372
1852, BOLIVIA NSW 2372
1853, BOONOO BOONOO NSW 2372
1854, BOOROOK NSW 2372
1855, BRYANS GAP NSW 2372
1856, BUNGULLA NSW 2372
1857, CARROLLS CREEK NSW 2372
1858, CULLENDORE NSW 2372
1859, JENNINGS NSW 2372
1860, LEECHS GULLY NSW 2372
1861, LISTON NSW 2372
1862, MINGOOLA NSW 2372
1863, MOLE RIVER NSW 2372
1864, MOUNT MACKENZIE NSW 2372
1865, PYES CREEK NSW 2372
1866, RIVERTREE NSW 2372
1867, ROCKY RIVER NSW 2372
1868, SANDY FLAT NSW 2372
1869, SANDY HILL NSW 2372
1870, SILENT GROVE NSW 2372
1871, STEINBROOK NSW 2372
1872, SUNNYSIDE NSW 2372
1873, TARBAN NSW 2372
1874, TENTERFIELD NSW 2372
1875, THE SCRUB NSW 2372
1876, TIMBARRA NSW 2372
1877, WILLSONS DOWNFALL NSW 2372
1878, WYLIE CREEK NSW 2372
1879, GOOLHI NSW 2379
1880, MULLALEY NSW 2379
1881, NAPIER LANE NSW 2379
1882, NOMBI NSW 2379
1883, BLUE VALE NSW 2380
1884, EMERALD HILL NSW 2380
1885, GHOOLENDAADI NSW 2380
1886, GUNNEDAH NSW 2380
1887, KELVIN NSW 2380
1888, MARYS MOUNT NSW 2380
1889, MILROY NSW 2380
1890, ORANGE GROVE NSW 2380
1891, RANGARI NSW 2380
1892, BREEZA NSW 2381
1893, CURLEWIS NSW 2381
1894, PREMER NSW 2381
1895, TAMBAR SPRINGS NSW 2381
1896, BOGGABRI NSW 2382
1897, MAULES CREEK NSW 2382
1898, WEAN NSW 2382
1899, WILLALA NSW 2382
1900, BURREN JUNCTION NSW 2386
1901, DRILDOOL NSW 2386
1902, NOWLEY NSW 2386
1903, BULYEROI NSW 2387
1904, ROWENA NSW 2387
1905, BOOLCARROLL NSW 2388
1906, CUTTABRI NSW 2388
1907, JEWS LAGOON NSW 2388
1908, MERAH NORTH NSW 2388
1909, PILLIGA NSW 2388
1910, SPRING PLAINS NSW 2388
1911, THE PILLIGA NSW 2388
1912, WEE WAA NSW 2388
1913, YARRIE LAKE NSW 2388
1914, BAAN BAA NSW 2390
1915, BACK CREEK NSW 2390
1916, BERRIGAL NSW 2390
1917, BOHENA CREEK NSW 2390
1918, BULLAWA CREEK NSW 2390
1919, COURADDA NSW 2390
1920, EDGEROI NSW 2390
1921, EULAH CREEK NSW 2390
1922, HARPARARY NSW 2390
1923, JACKS CREEK NSW 2390
1924, KAPUTAR NSW 2390
1925, NARRABRI NSW 2390
1926, NARRABRI WEST NSW 2390
1927, ROCKY CREEK NSW 2390
1928, TARRIARO NSW 2390
1929, TURRAWAN NSW 2390
1930, BINNAWAY NSW 2395
1931, ROPERS ROAD NSW 2395
1932, WEETALIBA NSW 2395
1933, BARADINE NSW 2396
1934, BARWON NSW 2396
1935, GOORIANAWA NSW 2396
1936, KENEBRI NSW 2396
1937, BELLATA NSW 2397
1938, MILLIE NSW 2397
1939, THALABA NSW 2397
1940, GURLEY NSW 2398
1941, BINIGUY NSW 2399
1942, PALLAMALLAWA NSW 2399
1943, ASHLEY NSW 2400
1944, BULLARAH NSW 2400
1945, CROOBLE NSW 2400
1946, MALLOWA NSW 2400
1947, MOREE NSW 2400
1948, MOREE EAST NSW 2400
1949, TERRY HIE HIE NSW 2400
1950, TULLOONA NSW 2400
1951, YARRAMAN NSW 2400
1952, GRAVESEND NSW 2401
1953, BALFOURS PEAK NSW 2402
1954, COOLATAI NSW 2402
1955, WARIALDA NSW 2402
1956, WARIALDA RAIL NSW 2402
1957, DELUNGRA NSW 2403
1958, GRAGIN NSW 2403
1959, MYALL CREEK NSW 2403
1960, BANGHEET NSW 2404
1961, BINGARA NSW 2404
1962, DINOGA NSW 2404
1963, ELCOMBE NSW 2404
1964, GINEROI NSW 2404
1965, KEERA NSW 2404
1966, PALLAL NSW 2404
1967, RIVERVIEW NSW 2404
1968, UPPER BINGARA NSW 2404
1969, BOOMI NSW 2405
1970, GARAH NSW 2405
1971, MUNGINDI NSW 2406
1972, WEEMELAH NSW 2406
1973, NORTH STAR NSW 2408
1974, BOGGABILLA NSW 2409
1975, BOONAL NSW 2409
1976, BLUE NOBBY NSW 2410
1977, TWIN RIVERS NSW 2410
1978, YETMAN NSW 2410
1979, CROPPA CREEK NSW 2411
1980, YALLAROI NSW 2411
1981, MONKERAI NSW 2415
1982, NOOROO NSW 2415
1983, STROUD ROAD NSW 2415
1984, UPPER KARUAH RIVER NSW 2415
1985, WEISMANTELS NSW 2415
1986, ALISON NSW 2420
1987, BANDON GROVE NSW 2420
1988, BENDOLBA NSW 2420
1989, BROOKFIELD NSW 2420
1990, CAMBRA NSW 2420
1991, CHICHESTER NSW 2420
1992, DUNGOG NSW 2420
1993, FLAT TOPS NSW 2420
1994, FOSTERTON NSW 2420
