,suburb
746, REGENTS PARK NSW 2143
747, AUBURN NSW 2144
748, GIRRAWEEN NSW 2145
749, GREYSTANES NSW 2145
750, MAYS HILL NSW 2145
751, PEMULWUY NSW 2145
752, PENDLE HILL NSW 2145
753, SOUTH WENTWORTHVILLE NSW 2145
754, WENTWORTHVILLE NSW 2145
755, WESTMEAD NSW 2145
756, OLD TOONGABBIE NSW 2146
757, TOONGABBIE NSW 2146
758, TOONGABBIE EAST NSW 2146
759, KINGS LANGLEY NSW 2147
760, LALOR PARK NSW 2147
761, SEVEN HILLS NSW 2147
762, SEVEN HILLS WEST NSW 2147
763, ARNDELL PARK NSW 2148
764, BLACKTOWN NSW 2148
765, BLACKTOWN WESTPOINT NSW 2148
766, HUNTINGWOOD NSW 2148
767, KINGS PARK NSW 2148
768, MARAYONG NSW 2148
769, PROSPECT NSW 2148
770, HARRIS PARK NSW 2150
771, PARRAMATTA NSW 2150
772, PARRAMATTA WESTFIELD NSW 2150
773, NORTH PARRAMATTA NSW 2151
774, NORTH ROCKS NSW 2151
775, NORTHMEAD NSW 2152
776, BAULKHAM HILLS NSW 2153
777, BELLA VISTA NSW 2153
778, WINSTON HILLS NSW 2153
779, CASTLE HILL NSW 2154
780, BEAUMONT HILLS NSW 2155
781, KELLYVILLE NSW 2155
782, KELLYVILLE RIDGE NSW 2155
783, ROUSE HILL NSW 2155
784, ANNANGROVE NSW 2156
785, GLENHAVEN NSW 2156
786, KENTHURST NSW 2156
787, CANOELANDS NSW 2157
788, FOREST GLEN NSW 2157
789, GLENORIE NSW 2157
790, DURAL NSW 2158
791, MIDDLE DURAL NSW 2158
792, ROUND CORNER NSW 2158
793, ARCADIA NSW 2159
794, BERRILEE NSW 2159
795, FIDDLETOWN NSW 2159
796, GALSTON NSW 2159
797, MERRYLANDS NSW 2160
798, MERRYLANDS WEST NSW 2160
799, GUILDFORD NSW 2161
800, GUILDFORD WEST NSW 2161
801, OLD GUILDFORD NSW 2161
802, YENNORA NSW 2161
803, CHESTER HILL NSW 2162
804, SEFTON NSW 2162
805, CARRAMAR NSW 2163
806, LANSDOWNE NSW 2163
807, VILLAWOOD NSW 2163
808, SMITHFIELD NSW 2164
809, SMITHFIELD WEST NSW 2164
810, WETHERILL PARK NSW 2164
811, WOODPARK NSW 2164
812, FAIRFIELD NSW 2165
813, FAIRFIELD EAST NSW 2165
814, FAIRFIELD HEIGHTS NSW 2165
815, FAIRFIELD WEST NSW 2165
816, CABRAMATTA NSW 2166
817, CABRAMATTA WEST NSW 2166
818, CANLEY HEIGHTS NSW 2166
819, CANLEY VALE NSW 2166
820, LANSVALE NSW 2166
821, GLENFIELD NSW 2167
822, ASHCROFT NSW 2168
823, BUSBY NSW 2168
824, CARTWRIGHT NSW 2168
825, GREEN VALLEY NSW 2168
826, HECKENBERG NSW 2168
827, HINCHINBROOK NSW 2168
828, SADLEIR NSW 2168
829, CASULA NSW 2170
830, CASULA MALL NSW 2170
831, CHIPPING NORTON NSW 2170
832, HAMMONDVILLE NSW 2170
833, LIVERPOOL NSW 2170
834, LIVERPOOL SOUTH NSW 2170
835, LIVERPOOL WESTFIELD NSW 2170
836, LURNEA NSW 2170
837, MOOREBANK NSW 2170
838, MOUNT PRITCHARD NSW 2170
839, PRESTONS NSW 2170
840, WARWICK FARM NSW 2170
841, CECIL HILLS NSW 2171
842, HORNINGSEA PARK NSW 2171
843, HOXTON PARK NSW 2171
844, MIDDLETON GRANGE NSW 2171
845, WEST HOXTON NSW 2171
846, PLEASURE POINT NSW 2172
847, SANDY POINT NSW 2172
848, VOYAGER POINT NSW 2172
849, HOLSWORTHY NSW 2173
850, WATTLE GROVE NSW 2173
851, HORSLEY PARK NSW 2175
852, ABBOTSBURY NSW 2176
853, BOSSLEY PARK NSW 2176
854, EDENSOR PARK NSW 2176
855, GREENFIELD PARK NSW 2176
856, PRAIRIEWOOD NSW 2176
857, ST JOHNS PARK NSW 2176
858, WAKELEY NSW 2176
859, BONNYRIGG NSW 2177
860, BONNYRIGG HEIGHTS NSW 2177
861, CECIL PARK NSW 2178
862, KEMPS CREEK NSW 2178
863, MOUNT VERNON NSW 2178
864, AUSTRAL NSW 2179
