,0,1,2,3,4,5,6,7,8
812/507 Wattle Street BROADWAY NSW 2007,"Sold $446,200 in Sep 2009",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
222/507 Wattle Street BROADWAY NSW 2007,"Sold $685,400 in May 2009",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
156/507 Wattle Street BROADWAY NSW 2007,"Sold $685,400 in May 2009",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
412/507a Wattle Street BROADWAY NSW 2007,"Sold $450,000 in Mar 2009",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
402/507a Wattle Street BROADWAY NSW 2007,"Sold $469,000 in Apr 2009",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
604/507 Wattle Street BROADWAY NSW 2007,"Sold $648,600 in Apr 2009",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
403/507a Wattle Street BROADWAY NSW 2007,"Sold $463,000 in May 2009",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
810/507 Wattle Street BROADWAY NSW 2007,"Sold $765,000 in May 2009",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
144/507 Wattle Street BROADWAY NSW 2007,"Sold $765,000 in May 2009",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
408/507a Wattle Street BROADWAY NSW 2007,"Sold $665,000 in May 2009",Rent $750pw in Jul 2020,Unit: 2 2 1,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,
903/507 Wattle Street BROADWAY NSW 2007,"Sold $685,400 in May 2009",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
801/507a Wattle Street BROADWAY NSW 2007,"Sold $468,000 in Mar 2009",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
808/507 Wattle Street BROADWAY NSW 2007,"Sold $775,000 in Mar 2009",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
805/507 Wattle Street BROADWAY NSW 2007,"Sold $643,500 in Oct 2007",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
803/507a Wattle Street BROADWAY NSW 2007,"Sold $471,500 in Jan 2009",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
1103/507 Wattle Street BROADWAY NSW 2007,"Sold $703,800 in Feb 2009",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
237/507 Wattle Street BROADWAY NSW 2007,"Sold $703,800 in Feb 2009",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
238/507 Wattle Street BROADWAY NSW 2007,"Sold $605,000 in Mar 2009",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
239/507 Wattle Street BROADWAY NSW 2007,"Sold $605,000 in Mar 2009",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
240/507 Wattle Street BROADWAY NSW 2007,"Sold $605,000 in Mar 2009",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
608/507a Wattle Street BROADWAY NSW 2007,"Sold $626,050 in Mar 2009",Other:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
401/507 Wattle Street BROADWAY NSW 2007,"Sold $820,000 in Mar 2015",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
194/507 Wattle Street BROADWAY NSW 2007,"Sold $820,000 in Mar 2015",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
1102/507 Wattle Street BROADWAY NSW 2007,"Sold $1,000,000 in May 2015",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
1102/507A Wattle Street BROADWAY NSW 2007,"Sold $1,000,000 in 09 May 2015(Auction)",Apartment: 2 2 1,Agent: Belle Property - Pyrmont,Distance: 96 metres,"North facing designer living with panoramic city views. Lifestyle - Everything you desire is at your fingertips in this sophisticated, immaculate and modern 11th floor apartment, capturing...more",Floorplan | Street view | Nearby,,,
809/507A Wattle Street BROADWAY NSW 2007,"Sold $1,000,000 in Jul 2015",Unit: 2 2 1,"Land size: 1,538 sqm",Agent: Sydney Property Group - Burwood,Distance: 96 metres,"Open Inspection Saturday 16/05/15 at 1:30pm-2:00pm. Tri Level & Huge 2 bedroom 8th Floor Apartment converted to a 4 bedroom student accommodation in fantastic location, opposite Ultimo TAFE & UTS,...more",Street view | Nearby,,
208A/507 Wattle Street BROADWAY NSW 2007,"Sold $980,000 in Feb 2017","Last Sold $703,800 in Feb 2009",Apartment: 2 3 1,"Land size: 1,538 sqm",Agent: Kho & Lee Property Group - Pyrmont,Distance: 96 metres,Oversized Dual Level Apartment - 138sqm. Only five years young this modern 2 bedroom dual level apartment boasts modern light filled interiors a fabulous Northern aspect and a position perfect...more,Floorplan | Street view | Nearby,
209/507 Wattle Street BROADWAY NSW 2007,"Sold $655,000 in Aug 2009",Unit: 2,"Land size: 1,538 sqm",Distance: 99 metres,Street view | Nearby,,,,
601/507 Wattle Street BROADWAY NSW 2007,"Sold $584,200 in Mar 2009",Unit:,"Land size: 1,538 sqm",Distance: 99 metres,Street view | Nearby,,,,
236/507 Wattle Street BROADWAY NSW 2007,"Sold $775,000 in Mar 2009",Unit:,"Land size: 1,538 sqm",Distance: 99 metres,Street view | Nearby,,,,
210A/507 Wattle Street BROADWAY NSW 2007,"Sold $810,000 in Dec 2013","Last Sold $680,000 in Apr 2008",Unit:,"Land size: 1,538 sqm",Distance: 99 metres,Street view | Nearby,,,
208/507 Wattle Street BROADWAY NSW 2007,"Sold $1,038,000 in Feb 2017","Last Sold $655,000 in Feb 2011",Unit:,"Land size: 1,538 sqm",Distance: 99 metres,Street view | Nearby,,,
